Alias,Last Active,Status,Origin,Target Industries,Target Countries,Actor Type,Motivation
"Atomic MacOS Stealer, AMOS, ping3r",Jun 2024,Active,Unknown,0,0,eCrime,Criminal
"eugenfest, Payk_34",Jun 2024,Active,Unknown,0,0,eCrime,Criminal
"Amadey, a2019, a2022, inCrease",Jun 2024,Active,Unknown,0,0,eCrime,Criminal
PrivateLoader,Jun 2024,Active,"Russian Federation, Eastern Europe, Central Asia",1,0,eCrime,Criminal
--,Jun 2024,Active,Unknown,0,0,eCrime,Criminal
"STRRAT, Strigoi Master",Jun 2024,Active,Unknown,0,0,eCrime,Criminal
DanaBot,Jun 2024,Active,"Russian Federation, Eastern Europe",12,6,eCrime,Criminal
"Bitter APT, Orange Yali",May 2024,Active,India,6,4,Targeted,State-Sponsored
BackDoorDiplomacy,May 2024,Active,"China, East Asia",1,10,Targeted,State-Sponsored
--,May 2024,Active,Unknown,4,1,eCrime,Criminal
"Cerium, APT43, Konni, TA406, Osmium, Springtail, Black Banshee, Opal Sleet, Emerald Sleet, Thallium, TA408, TA427, Crooked Pisces, SharpTongue, Ruby Sleet, Kimsuky",May 2024,Active,North Korea,18,12,Targeted,State-Sponsored
"APT38, Leery Turtle, Sapphire Sleet, Lazarus Group, HIDDEN COBRA, CryptoCore, COPERNICIUM, TAG-71, BeagleBoyz, Bluenoroff, CageyChameleon, CryptoMimic, Dangerous Password, TA444",May 2024,Active,North Korea,4,37,Targeted,"State-Sponsored, Criminal"
"mr._D0n#T, Donut, x4k, Mr.D0nut",May 2024,Active,Unknown,16,15,eCrime,Criminal
"kalin3t, Holy Souls, Black Magic, AMC239, Atlas Group, Hackers of Savior, Sangkancil, Yooz E Cybery, Yare Gomnam Cyber Team, Deus, NEPTUNIUM, Generous Thief, Al-Toufan",May 2024,Active,Iran,9,3,Targeted,State-Sponsored
"GREF, TG-2633, BRONZE ATLAS, Brass Typhoon, Winnti, Group 72, BARIUM, LEAD, APT41",May 2024,Active,China,22,9,Targeted,State-Sponsored
Br0k3r,May 2024,Active,Unknown,23,26,eCrime,Criminal
"IcedID, BokBot, GOLD SWATHMORE",May 2024,Active,"Russian Federation, Eastern Europe",2,7,eCrime,Criminal
"Earth Hundun, BlackTech, COBALT, Palmerworm, WaterBear, Red Djinn",May 2024,Active,China,7,5,Targeted,State-Sponsored
"Andariel, Lazarus, New Romanic Cyber Army, PLUTONIUM, Onyx Sleet",May 2024,Active,North Korea,22,18,Targeted,"State-Sponsored, Criminal"
"Smoke Loader, Dofoil, Smoke Bot",May 2024,Active,"Russian Federation, Eastern Europe",1,0,eCrime,Criminal
NilePhish,May 2024,Active,Egypt,3,2,Targeted,State-Sponsored
RedFoxtrot,Apr 2024,Active,China,7,8,Targeted,State-Sponsored
Flax Typhoon,Apr 2024,Active,China,5,5,Targeted,State-Sponsored
"UNC577, UNC4736, Jade Sleet, BeagleBoyz, Lazarus Group, Diamond Sleet, APT-C-26, TEMP.Hermit, Moonstone Sleet, HIDDEN COBRA, Black Artemis, Zinc, UNC2970",Apr 2024,Active,North Korea,24,31,Targeted,State-Sponsored
"Hazel Sandstorm, Homeland Justice, DEV-0842 , Void Manticore",Apr 2024,Active,Iran,3,2,Targeted,State-Sponsored
"LuoYu, Storm-0601",Apr 2024,Active,China,7,4,Targeted,State-Sponsored
"Matanbuchus, BelialDemon",Apr 2024,Active,Unknown,0,0,eCrime,Criminal
"Kukacka, Sality, KuKu, SalLoad, Kookoo, SaliCode",Apr 2024,Active,Russian Federation,1,2,eCrime,Criminal
"COLDRIVER, SEABORGIUM, DancingSalome, TAG-53, Blue Callisto, Calisto, Star Blizzard, Callisto",Apr 2024,Active,Russian Federation,6,4,Targeted,State-Sponsored
"Fsociety, CryptersAndTools",Apr 2024,Active,Brazil,0,0,eCrime,Criminal
Desorden Group,Apr 2024,Active,Unknown,7,8,eCrime,Criminal
"Reaper, ScarCruft, Group123, TEMP.Reaper, Venus121, ITG10, APT37, Red Eyes, Inky Squid, Moldy Pisces",Apr 2024,Active,North Korea,10,5,Targeted,State-Sponsored
"YoroTrooper, Tomiris, SturgeonPhisher",Apr 2024,Active,Unknown,0,0,Targeted,State-Sponsored
"HoneyMyte, Temp.Hex, UNC1066, BRONZE PRESIDENT, Stately Taurus",Mar 2024,Active,China,5,6,Targeted,State-Sponsored
--,Mar 2024,Active,Unknown,1,0,eCrime,Criminal
"Temp.Zagros, MERCURY, Seedworm, Yellow Nix, Mango Sandstorm, MuddyWater, NTSTATS, POWERSTATS",Mar 2024,Active,Iran,15,20,Targeted,State-Sponsored
"SANDFISH, ELECTRUM, Quedagh, IRON VIKING, Blue Echidna, Telebots, Sunglow Blizzard, IRIDIUM, Seashell Blizzard, Sandworm, Hades, BlackEnergy Group, FROZENBARENTS, UAC-0082, DEV-0665",Mar 2024,Active,Russian Federation,8,10,Targeted,State-Sponsored
"Xe Group, XeGroup",Mar 2024,Active,Vietnam,1,0,eCrime,Criminal
--,Mar 2024,Active,Unknown,0,0,eCrime,Criminal
"NOBERUS, ALPHV, BlackCat",Mar 2024,Active,Unknown,30,37,eCrime,Criminal
"Confucious, Confucius, Orange Dev 1",Mar 2024,Active,Unknown,2,1,Targeted,State-Sponsored
"Rattlesnake, T-APT-04, APT-C-17, APT-Q-39, Sidewinder, Baby Elephant, Operation Origami, Rattlesnake, Hardcore Nationalist",Mar 2024,Active,India,11,7,Targeted,State-Sponsored
"RedAlpha, Red Dev 3, DeepCliff",Mar 2024,Active,Unknown,5,6,Targeted,State-Sponsored
"Red Scully, Charcoal Typhoon, CHROMIUM, TAG-22, ControlX, BountyGlad, BRONZE UNIVERSITY",Feb 2024,Active,China,18,15,Targeted,State-Sponsored
"Office Monkeys, CozyCar, Midnight Blizzard, IRON RITUAL, YTTRIUM, NOBELIUM, IRON HEMLOCK, Blue Kitsune, JACKMACKEREL, APT29, “The Dukes”, UAC-0029, The Dukes, CozyDuke, Cloaked Ursa",Feb 2024,Active,Russian Federation,14,21,Targeted,State-Sponsored
"Bugat, Hades, Group: Evil Corp, iEncrypt, EvilCorp, PAYLOADBIN, Manatee Tempest, Friedex, BitPaymer, Dridex, WastedLocker, Phoenix Cryptolocker, GOLD DRAKE, GOLD WINTER",Feb 2024,Active,"Russian Federation, Eastern Europe",24,11,eCrime,Criminal
UAC-0050,Feb 2024,Active,Russian Federation,5,4,eCrime,"State-Sponsored, Hacktivism, Criminal"
--,Feb 2024,Active,India,4,5,Targeted,State-Sponsored
"Volt Typhoon, BRONZE SILHOUETTE",Feb 2024,Active,China,14,1,Targeted,State-Sponsored
